rank,name,appid
1,Apex Legends™,1172470
2,Cyberpunk 2077,1091500
3,Phasmophobia,739630
4,Deep Rock Galactic,548430
5,Sea of Thieves: 2025 Edition,1172620
6,Risk of Rain 2,632360
7,Hades,1145360
8,Squad,393380
9,Factorio,427520
10,Detroit: Become Human,1222140
11,DOOM Eternal,782330
12,ULTRAKILL,1229490
13,Grand Theft Auto IV: The Complete Edition,12210
14,Borderlands 3,397540
15,Ori and the Will of the Wisps,1057090
16,Black Mesa,362890
17,Crusader Kings III,1158310
18,Fallout 76,1151340
19,Horizon Zero Dawn™ Complete Edition,1151640
20,Helltaker,1289310
21,Mafia: Definitive Edition,1030840
22,Half-Life: Alyx,546560
23,Resident Evil 3,952060
24,Outer Wilds,753640
25,OMORI,1150690
26,Noita,881100
27,Persona 4 Golden,1113000
28,Golf With Your Friends,431240
29,Microsoft Flight Simulator (2020) 40th Anniversary Edition,1250410
30,Red Dead Online,1404210
31,Wolcen: Lords of Mayhem,424370
32,State of Decay 2: Juggernaut Edition,495420
33,Ghostrunner,1139900
34,Mafia III: Definitive Edition,360430
35,Control Ultimate Edition,870780
36,Stormworks: Build and Rescue,573090
37,DRAGON BALL Z: KAKAROT,851850
38,The Henry Stickmin Collection,1089980
39,Age of Empires III: Definitive Edition,933110
40,Besiege,346010
41,Spiritfarer®: Farewell Edition,972660
42,KARDS - The WW2 Card Game,544810
43,DDNet,412220
44,The Walking Dead: The Telltale Definitive Series,1449690
45,RISK: Global Domination,1128810
46,Beyond: Two Souls,960990
47,Conqueror's Blade,835570
48,Journey,638230
49,POLYGON,1241100
50,Yakuza: Like a Dragon,1235140
51,Mafia II: Definitive Edition,1030830
52,ShellShock Live,326460
53,Senren＊Banka,1144400
54,Command & Conquer™ Remastered Collection,1213210
55,Empyrion - Galactic Survival,383120
56,DJMAX RESPECT V,960170
57,Stoneshard,625960
58,Bright Memory,955050
59,Milk inside a bag of milk inside a bag of milk,1392820
60,Superliminal,1049410
61,CARRION,953490
62,GWENT: The Witcher Card Game,1284410
63,The Outer Worlds,578650
64,STAR WARS™: Squadrons,1222730
65,Holdfast: Nations At War,589290
66,Hydroneer,1106840
67,RuneScape ®,1343400
68,Leaf Blower Revolution - Idle Game,1468260
69,Blackwake,420290
70,Heavy Rain,960910
71,There Is No Game: Wrong Dimension,1240210
72,Drug Dealer Simulator,682990
73,Phantasy Star Online 2 New Genesis,1056640
74,Last Oasis,903950
75,Summer Memories,1227890
76,Untitled Goose Game,837470
77,Neon Abyss,788100
78,Amazing Cultivation Simulator,955900
79,XCOM®: Chimera Squad,882100
80,Monster Train,1102190
81,ATRI -My Dear Moments-,1230140
82,Wasteland 3,719040
83,Spelunky 2,418530
84,Project Wingman,895870
85,Craftopia,1307550
