rank,name,appid
1,ELDEN RING,1245620
2,Call of Duty®,1938090
3,Raft,648800
4,Mount & Blade II: Bannerlord,261550
5,Vampire Survivors,1794680
6,Dying Light 2 Stay Human: Reloaded Edition,534380
7,Lost Ark,1599340
8,God of War,1593500
9,Stray,1332010
10,Total War: WARHAMMER III,1142710
11,"Warhammer 40,000: Darktide",1361210
12,Marvel’s Spider-Man Remastered,1817070
13,Persona 5 Royal,1687950
14,Teardown,1167630
15,MONSTER HUNTER RISE,1446780
16,Cult of the Lamb,1313140
17,Mirror 2: Project X,1832640
18,Yu-Gi-Oh! Master Duel,1449850
19,STALCRAFT: X,1818450
20,Grounded,962130
21,Victoria 3,529340
22,HITMAN World of Assassination,1659040
23,Vampire: The Masquerade - Bloodhunt,760160
24,DEATH STRANDING DIRECTOR'S CUT,1850570
25,PowerWash Simulator,1290000
26,Need for Speed™ Unbound,1846380
27,World War 3,674020
28,Chivalry 2,1824220
29,PROJECT: PLAYTIME,1961460
30,NEEDY STREAMER OVERLOAD,1451940
31,Marvel’s Spider-Man: Miles Morales,1817190
32,Call of Duty®: Warzone™,1962663
33,Foxhole,505460
34,LEGO® Star Wars™: The Skywalker Saga,920210
35,Stranded Deep,313120
36,Inside the Backrooms,1987080
37,Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,1922560
38,FINAL FANTASY VII REMAKE INTERGRADE,1462040
39,The Callisto Protocol™,1544020
40,Potion Craft: Alchemist Simulator,1210320
41,FPS Chess,2021910
42,Assassin's Creed Valhalla,2208920
43,Temtem,745920
44,Quake Champions,611500
45,暖雪 Warm Snow,1296830
46,嗜血印 Bloody Spell,992300
47,UNCHARTED™: Legacy of Thieves Collection,1659420
48,The Stanley Parable: Ultra Deluxe,1703340
49,Backrooms: Escape Together,2141730
50,SIGNALIS,1262350
51,One-armed cook,1977530
52,Dwarf Fortress,975370
53,Path Of Wuxia,1189630
54,Outward Definitive Edition,794260
55,ASTLIBRA Revision,1718570
56,Dorfromantik,1455840
57,Stacklands,1948280
58,Sniper Elite 5,1029690
59,Lost Light,1797880
60,Sonic Frontiers,1237320
61,Guild Wars 2®,1284210
62,PlateUp!,1599600
63,Aperture Desk Job,1902490
64,Gotham Knights,1496790
65,Tiny Tina's Wonderlands,1286680
66,A Plague Tale: Requiem,1182900
67,Omega Strikers,1869590
68,Marvel's Midnight Suns,368260
69,High On Life,1583230
70,SurrounDead,1645820
71,The Quarry,1577120
72,Hatsune Miku: Project DIVA Mega Mix+,1761390
73,Hardspace: Shipbreaker,1161580
74,Police Simulator: Patrol Officers,997010
75,Battle Teams 2,1969870
76,Marauders,1789480
77,UNDECEMBER: 4th Anniversary,1549250
78,Ghostwire: Tokyo,1475810
79,Neon White,1533420
80,Placid Plastic Duck Simulator,1999360
81,Dome Keeper,1637320
82,Portal with RTX,2012840
83,FreshWomen - Season 1,1350650
84,BONELAB,1592190
85,SUPER PEOPLE,1190340
86,Banana Shooter,1949740
87,We Were Here Forever,1341290
88,TUNIC,553420
89,A Little to the Left,1629520
