rank,appid,name,rating,num_votes
1,892970,Valheim,94.0,525865
2,508440,Totally Accurate Battle Simulator,98.0,144196
3,1426210,It Takes Two,95.0,250444
4,1092790,Inscryption,97.0,142157
5,1366540,Dyson Sphere Program,98.0,89432
6,1196590,Resident Evil Village,96.0,136849
7,1454400,Cookie Clicker,97.0,88086
8,1625450,Muck,93.0,181204
9,1288310,Firework,98.0,43617
10,1584090,Touhou Mystia's Izakaya,98.0,31780
11,1217060,Gunfire Reborn,93.0,102441
12,1206560,WorldBox - God Simulator,95.0,51836
13,1259420,Days Gone,93.0,111319
14,597170,Clone Drone in the Danger Zone,96.0,36718
15,1388880,Doki Doki Literature Club Plus!,97.0,30089
16,1082430,Before Your Eyes,98.0,21632
17,1782210,Crab Game,91.0,151842
18,1361320,The Room 4: Old Sins,99.0,17589
19,1062090,Timberborn,96.0,35971
20,1190000,Car Mechanic Simulator 2021,96.0,34899
21,1557740,ROUNDS,95.0,41369
22,1248130,Farming Simulator 22,93.0,89610
23,337320,Paint the Town Red,96.0,31474
24,990630,The Last Campfire,98.0,18166
25,1551360,Forza Horizon 5,89.0,263979
26,1604000,Milk outside a bag of milk outside a bag of milk,97.0,20994
27,1147560,Skul: The Hero Slayer,93.0,56661
28,1256670,Library Of Ruina,94.0,40090
29,1127500,Mini Motorways,96.0,23374
30,860510,Little Nightmares II,93.0,55038
31,1388770,Cruelty Squad,96.0,22889
32,1369630,ENDER LILIES: Quietus of the Knights,94.0,43376
33,1088850,Marvel's Guardians of the Galaxy,94.0,43297
34,1419170,My Singing Monsters,94.0,45912
35,488860,MADNESS: Project Nexus,97.0,16777
36,1390350,Webbed,98.0,14708
37,1307580,TOEM: A Photo Adventure,99.0,10007
38,843380,Super Animal Royale,93.0,43768
39,1727650,死寂（Deathly Stillness）,96.0,21974
40,1291340,Townscaper,95.0,21374
41,1135690,Unpacking,93.0,38673
42,848450,Subnautica: Below Zero,90.0,101664
43,1274570,DEVOUR,91.0,86597
44,1328670,Mass Effect™ Legendary Edition,91.0,62733
45,1282730,Loop Hero,93.0,35951
46,1714320,Find Love or Die Trying,97.0,11998
47,1764390,BAD END THEATER,98.0,9433
48,939400,LoveChoice,93.0,35561
49,607080,Psychonauts 2,96.0,13867
50,763890,Wildermyth,95.0,18010
51,874260,The Forgotten City,96.0,12879
52,1178830,Bright Memory: Infinite,92.0,39420
53,330830,Tales from the Borderlands,94.0,19302
54,1698960,Project Kat - Paper Lily Prologue,99.0,5730
55,1830840,The Planet Crafter: Prologue,96.0,10628
56,1182620,Impostor Factory,96.0,12400
57,1469280,SuchArt: Creative Space,98.0,7136
58,1435790,Escape Simulator,94.0,18776
59,1229380,Everhood,95.0,13801
60,1567800,星空列车与白的旅行,99.0,6057
61,1806840,100 hidden frogs,98.0,6732
62,1129580,Medieval Dynasty,91.0,49433
63,1740100,At Home Alone Final,97.0,7836
64,1708870,第七号列车 - Train No. 7,98.0,6918
65,1250760,Far Away,97.0,7853
66,1290490,UNBEATABLE [white label],97.0,8531
67,894020,Death's Door,93.0,20798
68,1205450,Turnip Boy Commits Tax Evasion,95.0,13621
69,1465360,SnowRunner,90.0,51313
70,1504500,OPUS: Echo of Starsong - Full Bloom Edition,96.0,9120
71,1481400,Dagon: by H. P. Lovecraft,95.0,12065
72,1280770,Redmatch 2,93.0,21044
73,1713610,Purrgatory,99.0,4846
74,1244460,Jurassic World Evolution 2,90.0,45072
75,1227690,Severed Steel,95.0,9524
76,1507970,Word Game: Episode 0,99.0,4561
77,1655140,Alpaca Stacka,97.0,5945
78,601840,Griftlands,94.0,14277
79,1714040,Super Auto Pets,90.0,35496
80,1466640,Road 96 🛣️,92.0,24079
81,1806040,Snake Force,97.0,5730
82,1509960,PICO PARK,91.0,29495
83,1161170,The Rewinder,96.0,7228
84,1216710,Cyber Manhunt,93.0,15294
85,1384160,GUILTY GEAR -STRIVE-,88.0,63657
86,1609230,Scarlet Hollow,98.0,3974
87,1003590,Tetris® Effect: Connected,95.0,8594
88,1506980,Lay a Beauty to Rest: The Darkness Peach Blossom Spring,96.0,6769
89,1173770,FINAL FANTASY,95.0,7857
90,1443200,Class of '09,95.0,8107
91,1158850,The Great Ace Attorney Chronicles,94.0,8940
92,1111460,小白兔电商~Bunny e-Shop,94.0,10234
93,1674170,Sprocket,93.0,11936
94,1641270,枝江往事,97.0,4874
95,1812820,Bitburner,95.0,7066
96,1721470,Poppy Playtime,86.0,111608
97,1407420,Milo and the Magpies,98.0,3320
98,780310,The Riftbreaker,91.0,21863
99,584640,SUPER CHICKEN JUMPER,96.0,5299
100,1119980,In Sound Mind,95.0,6541
101,1123450,Chicory: A Colorful Tale,98.0,3817
102,1546570,Sword and Fairy,97.0,3949
103,1369670,Motor Town: Behind The Wheel,94.0,8259
104,1444480,Turing Complete,96.0,4983
105,1754720,英雄黄昏-文字三国志&曹贼模拟器,98.0,3463
106,1568590,Goose Goose Duck,87.0,78686
107,1525700,Tavern Master,92.0,12702
108,977400,Cell to Singularity - Evolution Never Ends,90.0,25941
109,1481080,DRAMAtical Murder,97.0,4314
110,1682970,Uncrashed : FPV Drone Simulator,95.0,6401
111,1530140,Aventura Copilului Albastru și Urât,99.0,2508
112,1634150,Behind the Frame: The Finest Scenery,94.0,7392
113,1484720,Dead Estate,95.0,6348
114,1408230,Walkabout Mini Golf VR,98.0,3294
115,1580970,Samorost 1,96.0,5101
116,1677740,Stumble Guys,85.0,133822
117,1325200,Nioh 2 – The Complete Edition,88.0,48991
118,1333910,Sizeable,98.0,3107
119,1466860,Age of Empires IV: Anniversary Edition,86.0,90272
120,747660,Five Nights at Freddy's: Security Breach,87.0,68013
121,1715460,Touhou Hero of Ice Fairy: Prologue,97.0,3359
122,1672970,Minecraft Dungeons,91.0,15716
123,1639790,Northern Journey,97.0,3451
124,1029780,Going Medieval,90.0,19619
125,417360,OnlyCans: Thirst Date,96.0,3927
126,1619750,Karryn's Prison,96.0,4321
127,1388590,Yakuza 6: The Song of Life,93.0,7868
128,1267910,Melvor Idle,90.0,15534
129,1516240,Mitoza,96.0,3663
130,1138850,Heavenly Bodies,95.0,4209
131,1504020,Mosaique Neko Waifus 4,95.0,4803
132,1203630,Record of Lodoss War-Deedlit in Wonder Labyrinth-,93.0,7129
133,1113560,NieR Replicant™ ver.1.22474487139...,88.0,27165
134,1149620,Gas Station Simulator,88.0,26655
135,846770,DYSMANTLE,91.0,11240
136,915310,SNKRX,95.0,4323
137,1710930,Bubble People,93.0,5995
138,1463120,College Kings - The Complete Season,91.0,9239
139,598550,HUNTDOWN,95.0,4094
140,1511860,Swallow the Sea,97.0,2416
141,930210,HuniePop 2: Double Date,91.0,9340
142,1578860,Billionaire Lovers,95.0,3728
143,1507190,Machinika: Museum,93.0,6071
144,1648390,ScooterFlow,95.0,3689
145,1310990,Bishojo Mangekyo Kotowari to Meikyu no Shojo,96.0,2932
146,1808800,Duck Simulator 2,96.0,2862
147,1138660,Black Book,92.0,6435
148,1734320,Brutal Orchestra,98.0,1990
149,1749630,Chill Corner,91.0,9630
150,936790,Life is Strange: True Colors,89.0,16332
151,1173010,Flowers Blooming at the End of Summer,96.0,2632
152,1406850,The Legend of Tianding,94.0,4229
153,1603980,"If On A Winter's Night, Four Travelers",96.0,2602
154,1579380,Shadow Tactics: Aiko's Choice,93.0,4697
155,629820,Maneater,88.0,23216
156,1255650,Geometry Arena,96.0,2401
157,1559390,Fate Seeker II,89.0,13720
158,1510030,Knights College,97.0,2177
159,1126310,风信楼,94.0,3639
160,1195290,Moncage,92.0,5475
161,1566410,Touhou Kouryudou ~ Unconnected Marketeers.,98.0,1793
162,1269950,Buddy Simulator 1984,94.0,4145
163,1800730,I MAED A GAM3 W1TH Z0MB1ES 1N IT!!!1,98.0,1759
164,1268960,pureya,96.0,2416
165,1724190,Come Home,93.0,4750
166,1671340,Fears to Fathom - Home Alone,90.0,10060
167,1277940,Kinkoi: Golden Loveriche,97.0,2071
168,978460,Emily is Away <3,91.0,6509
169,1625080,Have a Nice Dream,93.0,4840
170,493520,GTFO,84.0,64851
171,1521580,Perfect Heist 2,93.0,4436
172,729000,Wytchwood,93.0,4521
173,1345820,Ragnarock,94.0,3179
174,1382330,Persona® 5 Strikers,88.0,17432
175,1096530,Solasta: Crown of the Magister,87.0,21540
176,1105500,Yakuza 4 Remastered,91.0,7026
177,1018800,DEEEER Simulator: Your Average Everyday Deer Game,92.0,4579
178,1620340,Wrestling Empire,94.0,2991
179,1276790,Ruined King: A League of Legends Story™,89.0,11197
180,1199030,Tainted Grail: Conquest,90.0,8071
181,1272160,The Life and Suffering of Sir Brante,90.0,9409
182,1490890,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,87.0,19580
183,1367590,Tormented Souls,90.0,7647
184,1638660,Blood Spear,95.0,2317
185,1456820,Marfusha:Sentinel Girls,94.0,3109
186,686810,Hell Let Loose,82.0,144517
187,1440670,Zeepkist,97.0,1693
188,1597730,Dogs Organized Neatly,98.0,1413
189,1203710,UnMetal,94.0,3347
190,1424660,9-nine-:Episode 4,98.0,1392
191,1458100,Cozy Grove,90.0,8290
192,1555110,Chasing Tails ~A Promise in the Snow~,92.0,4407
193,1283410,Tails of Iron,88.0,14101
194,1421790,Labyrinth City: Pierre the Maze Detective,96.0,2185
195,1662840,PARQUET,95.0,2360
196,1078350,Ambrosia,94.0,2641
197,1569520,IRMÃO Grande & Brasileiro 2,98.0,1395
198,1555710,OMFG: One Million Fatal Guns,95.0,2380
199,1722570,Jerma's Big Adventure,98.0,1369
200,1372320,Cloud Gardens,95.0,2277
201,1511270,Ann,94.0,2682
202,1540570,Fractal Block World,98.0,1205
203,1293160,The Medium,89.0,9685
204,1144770,SLUDGE LIFE,91.0,5329
205,941460,Death Trash,93.0,3657
