rank,appid,name,rating,num_votes
206,795420,The Darkside Detective: A Fumble in the Dark,96.0,1899
207,1712390,Martial Law,92.0,3848
208,1372280,MELTY BLOOD: TYPE LUMINA,88.0,10169
209,1281590,The Dark Pictures Anthology: House of Ashes,89.0,9648
210,1587560,100 hidden cats,95.0,2299
211,1509820,Cloud Climber,92.0,4111
212,1000360,Hellish Quart,89.0,8042
213,400750,Call to Arms - Gates of Hell: Ostfront,85.0,30060
214,578540,Perfect Gold - Yuri Visual Novel,98.0,1170
215,1626890,坏小孩,96.0,1659
216,1477790,Luna's Fishing Garden,94.0,2198
217,1173790,FINAL FANTASY III,94.0,2572
218,1276390,Bloons TD Battles 2,84.0,33350
219,1591290,Tree Simulator 2022,97.0,1241
220,1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,84.0,41754
221,1398740,The Chrono Jotter,94.0,2182
222,1638220,Xuan-Yuan Sword: The Scar of Sky,94.0,2496
223,720620,TaleSpire,90.0,5016
224,252870,PULSAR: Lost Colony,90.0,5680
225,937310,Infinitode 2 - Infinite Tower Defense,91.0,3995
226,1483870,Draw & Guess,84.0,34684
227,860890,Factory Town,91.0,4412
228,1486630,Intravenous,90.0,5303
229,1688580,A YEAR OF SPRINGS,99.0,903
230,1105510,Yakuza 5 Remastered,89.0,6991
231,1456880,ElecHead,97.0,1276
232,1289810,Siralim Ultimate,93.0,2386
233,469600,Legion TD 2 - Multiplayer Tower Defense,86.0,14654
234,1564090,Landlord of the Woods,97.0,1164
235,1578390,My Garage,91.0,3802
236,1131190,NERTS! Online,95.0,1636
237,1527910,Gladio and Glory,91.0,4158
238,773370,Exo One,90.0,5084
239,1351630,Ys IX: Monstrum Nox,94.0,1844
240,1532510,Purrfect Apawcalypse: Love at Furst Bite,99.0,857
241,1125240,Ancient Dungeon,95.0,1633
242,1637370,Letters From a Rainy Day -Oceans and Lace-,98.0,938
243,1476340,The Adventure of NAYU,95.0,1704
244,1554840,Toree 3D,95.0,1615
245,1434950,HighFleet,88.0,7097
246,1722620,Toree 2,97.0,1062
247,1599880,Cats in Time,96.0,1363
248,1078420,Critters for Sale,95.0,1694
249,829280,Kaze and the Wild Masks,94.0,1921
250,1610870,Chair Simulator,89.0,5292
