Rank,Game,Company,Score,Rating
76,SuchArt: Genius Artist Simulator 2022 Design & Illustration $24.99,,5.73,97% 4.54 K
77,Tinykin 2022 3D Platformer $24.99,,5.73,98% 3.97 K
78,Outpath: First Journey 2022 Base Building Free,,5.73,97% 4.67 K
79,月に寄りそう乙女の作法 2022 Visual Novel $39.99,,5.73,98% 4.22 K
80,Beacon Pines 2022 Visual Novel $19.99,,5.73,98% 4.12 K
81,A Little to the Left 2022 Puzzle $5.99 -60% $14.99,,5.73,92% 16.9 K
82,Animal Revolt Battle Simulator 2022 Sandbox $14.99,,5.73,95% 6.51 K
83,Melatonin 2022 Rhythm $14.99,,5.73,95% 7.84 K
84,Lost Judgment 2022 Action $17.99 -70% $59.99,,5.72,94% 8.87 K
85,TUNIC 2022 Exploration $29.99,,5.72,92% 17 K
86,私のリアルは充実しすぎている フルボイス版 2022 Otome $7.99 -20% $9.99,,5.72,96% 5.03 K
87,Sonic Frontiers 2022 Great Soundtrack $17.99 -70% $59.99,,5.72,90% 26.9 K
88,We Were Here Forever 2022 Puzzle $17.99,,5.72,91% 17.6 K
89,Captain of Industry 2022 Base Building $34.99,EA,5.72,93% 9.35 K
90,I Was a Teenage Exocolonist 2022 Choices Matter $24.99,,5.72,96% 4.42 K
91,Ticy Adventure Club 2022 RPG Free,,5.72,98% 3.22 K
92,FINAL FANTASY VII REMAKE INTERGRADE 2022 RPG $39.99,,5.72,88% 44.2 K
93,Choo-Choo Charles 2022 Survival Horror $19.99,,5.71,91% 16.8 K
94,The Upturned 2022 Comedy $9.99,,5.71,99% 2.59 K
95,Sucker for Love: First Date 2022 Anime $3.99 -60% $9.99,,5.71,98% 2.91 K
96,The Complex: Found Footage 2022 Horror Free,,5.71,93% 9.35 K
97,Citizen Sleeper 2022 RPG $19.99,,5.71,93% 9.55 K
98,How Fish Is Made 2022 Surreal Free,,5.71,95% 5.31 K
99,HITMAN World of Assassination 2022 Stealth $69.99,Demo,5.71,87% 59 K
100,Ravenous Devils 2022 Management $4.99,Demo,5.71,93% 9.53 K
101,Rogue Legacy 2 2022 Arcade $24.99,,5.71,91% 14.8 K
102,Backrooms: Escape Together 2022 Horror $9.99,EA,5.7,88% 32.7 K
103,Chop Goblins 2022 Boomer Shooter $4.99,,5.7,97% 3.07 K
104,Supraland Six Inches Under 2022 Puzzle Platformer $19.99,Demo,5.7,96% 3.96 K
105,Monster Prom 3: Monster Roadtrip 2022 Visual Novel $11.99,Demo,5.7,97% 3.25 K
106,Dialtown: Phone Dating Sim 2022 Casual $7.99,Demo,5.7,99% 2.14 K
107,Nightmare of Decay 2022 Horror $4.99,Demo,5.7,96% 4.21 K
108,Hardspace: Shipbreaker 2022 Space $34.99,,5.7,89% 21.6 K
109,Iron Lung 2022 Horror $7.99,,5.7,92% 9.83 K
110,Guild Wars 2® 2022 MMORPG Free,,5.7,89% 26.4 K
