rank,name,appid
1,Rust,252490
2,Among Us,945360
3,The Forest,242760
4,Monster Hunter: World,582010
5,DayZ,221100
6,Bloons TD 6,960090
7,Paladins®,444090
8,Subnautica,264710
9,Battlefield™ V,1238810
10,RimWorld,294100
11,Z1 Battle Royale,433850
12,Far Cry® 5,552520
13,Assassin's Creed® Odyssey,812140
14,Dead Cells,588650
15,Kingdom Come: Deliverance,379430
16,Warhammer: Vermintide 2,552500
17,DARK SOULS™: REMASTERED,570940
18,Celeste,504230
19,Frostpunk,323190
20,Insurgency: Sandstorm,581320
21,Conan Exiles,440900
22,Kenshi,233860
23,House Flipper,613100
24,The Crew™ 2,646910
25,A Way Out,1222700
26,GRIS,683320
27,Totally Accurate Battlegrounds,823130
28,Mirror,644560
29,Shadow of the Tomb Raider: Definitive Edition,750920
30,Overcooked! 2,728880
31,Farming Simulator 19,787860
32,DRAGON BALL FighterZ,678950
33,Northgard: Definitive Edition,466560
34,The Scroll Of Taiwu,838350
35,Ultimate Custom Night,871720
36,NARUTO TO BORUTO: SHINOBI STRIKER,633230
37,Pummel Party,880940
38,FINAL FANTASY XV WINDOWS EDITION,637650
39,Jurassic World Evolution,648350
40,Lobotomy Corporation | Monster Management Simulation,568220
41,Age of History II,603850
42,Gujian3(古剑奇谭三),994280
43,Graveyard Keeper,599140
44,For The King,527230
45,ATLAS,834910
46,Wreckfest,228380
47,DCS World Steam Edition,223750
48,Life is Strange 2,532210
49,KovaaK's,824270
50,Thief Simulator,704850
51,Kingdom Two Crowns,701160
52,Pathfinder: Kingmaker — Enhanced Plus Edition,640820
53,Two Point Hospital,535930
54,Return of the Obra Dinn,653530
55,BATTLETECH,637090
56,Miscreated,299740
57,Just Cause 4 Reloaded,517630
58,War Robots,767560
59,X4: Foundations,392160
60,Chinese Parents,736190
61,Squad 44,736220
62,FAR: Lone Sails,609320
63,Just Shapes & Beats,531510
64,Artifact,583950
65,DUSK,519860
66,TerraTech,285920
67,Call to Arms,302670
68,Vampyr,427290
69,GROUND BRANCH,16900
70,Dark Deception,332950
71,Farm Together,673950
72,"Warhammer 40,000: Inquisitor - Martyr",527430
73,Into the Breach,590380
74,Moonlighter,606150
75,Crash Bandicoot™ N. Sane Trilogy,731490
76,Wizard of Legend,445980
77,The Walking Dead: The Final Season,866800
78,Fear & Hunger,1002300
79,Devil May Cry HD Collection,631510
80,Mutant Year Zero: Road to Eden,760060
81,Pillars of Eternity II: Deadfire,560130
82,Sword Art Online: Fatal Bullet,626690
83,Will To Live Online,707010
84,Changed,814540
85,CrossCode,368340
86,Thronebreaker: The Witcher Tales,973760
87,"Warhammer 40,000: Gladius - Relics of War",489630
88,Darksiders III,606280
89,Zup! S,617670
90,The Awesome Adventures of Captain Spirit,845070
91,A Total War Saga: THRONES OF BRITANNIA,712100
92,War of Rights,424030
93,Hentai Girl,878750
94,"Warhammer 40,000: Mechanicus",673880
95,Monster Prom,743450
96,SOULCALIBUR VI,544750
97,Cultist Simulator,718670
98,Mist Survival,914620
99,Sunset Overdrive,847370
100,Eco,382310
101,The Red Strings Club,589780
102,We Happy Few,320240
103,Bad North: Jotunn Edition,688420
104,Bus Simulator 18,515180
105,Fate Seeker,882790
106,Call of Cthulhu®,399810
107,Stonehearth,253250
108,SYNTHETIK: Legion Rising,528230
109,The Room Three,456750
110,The Messenger,764790
111,Liftoff®: FPV Drone Racing,410340
112,CHRONO TRIGGER®,613830
113,Freeman: Guerrilla Warfare,773951
114,The Elder Scrolls V: Skyrim VR,611670
115,Book of Demons,449960
116,Do Not Feed the Monkeys,658850
117,Cube Escape: Paradox,909080
118,Donut County,702670
119,Genital Jousting,469820
120,ATOM RPG: Post-apocalyptic indie game,552620
121,Strange Brigade,312670
122,Ni no Kuni™ II: Revenant Kingdom,589360
123,Jalopy,446020
124,河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon),952860
125,AirMech,206500
126,We Were Here Too,677160
127,Amorous,778700
128,Space Hulk: Deathwing Enhanced Edition,816090
129,Door Kickers: Action Squad,686200
130,Next Day: Survival,519190
131,DYNASTY WARRIORS 9,730310
132,Bean Battles,765410
133,Yume Nikki,650700
134,Railway Empire,503940
135,Dungreed,753420
136,FINAL FANTASY XII THE ZODIAC AGE,595520
137,Beasts of Bermuda,719890
138,Heroes of Hammerwatch,677120
139,Neverwinter Nights: Enhanced Edition,704450
140,Granny,962400
141,Project Hospital,868360
142,Ultimate Fishing® Simulator,468920
143,Ancestors Legacy,620590
144,The Vagrant,598700
145,Coloring Pixels,897330
146,Unravel Two,1225570
147,Battlerite Royale,879160
148,Pit People®,291860
149,Dragon Cliff,758190
150,Burnout™ Paradise Remastered,1238080
151,Parkitect,453090
152,Zula Global,747610
153,Beholder 2,761620
154,STEINS;GATE 0,825630
155,LEGO® DC Super-Villains,829110
156,Kingdom Rush Origins - Tower Defense,816340
157,Distance,233610
158,Life is Feudal: MMO,700030
159,Terraforming Mars,800270
160,Train Sim World® 2020,530070
161,Eternal Card Game,531640
162,Valkyria Chronicles 4 Complete Edition,790820
163,Rusty Lake Paradise,744190
164,Ys VIII: Lacrimosa of DANA,579180
165,Zup! X,508900
166,Mark of the Ninja: Remastered,860950
167,Marie's Room,648390
168,Lethal League Blaze,553310
169,MUSYNX,952040
170,Sword With Sauce,581630
171,Katamari Damacy REROLL,848350
172,This Is the Police 2,785740
173,Airships: Conquer the Skies,342560
174,PIPE by BMX Streets,815780
175,LET IT DIE,794600
176,Project Warlock,893680
177,Epic Battle Fantasy 5,432350
178,Fox Hime Zero,844930
179,RIDE 3,759740
180,SUPREMACY: WORLD WAR 3,784950
181,Horizon Chase Turbo,389140
182,METAL GEAR SURVIVE,543900
183,Puyo Puyo™Tetris®,546050
184,The Council,287630
185,WARRIORS OROCHI 4,831560
186,Death's Gambit: Afterlife,356650
187,World of Warplanes,790710
188,Frog Detective 1: The Haunted Island,963000
189,The Hex,510420
190,"Guns, Gore and Cannoli 2",525510
191,Barro,618140
192,MONMUSU,533540
193,Acting Lessons,1045520
194,Ghost of a Tale,417290
195,Mega Man 11,742300
196,Yoku's Island Express,334940
197,GRIP: Combat Racing,396900
198,Vagante,323220
199,Iconoclasts,393520
200,Lust for Darkness,523650
201,Meteor 60 Seconds!,788770
202,Dead Maze,667890
203,Hentai Girl Linda,927890
204,Summer Pockets,897220
205,HD Poker: Texas Hold'em,797430
206,DISTRAINT 2,743390
207,Cyberdimension Neptunia: 4 Goddesses Online,632350
208,Mega Man X Legacy Collection,743890
209,Phantom Doctrine,559100
210,Regions Of Ruin,680360
211,Contractors,963930
212,CHUCHEL,711660
213,One Hour One Life,595690
214,Closers,215830
215,Mini World: CREATA,814480
216,RUSSIA BATTLEGROUNDS,805940
217,Hunt Down The Freeman,723390
218,Zup! 8,799070
219,Never Split the Party,711810
220,Bloodstained: Curse of the Moon,838310
221,Red Faction Guerrilla Re-Mars-tered,667720
222,Dig or Die,315460
223,SENRAN KAGURA Peach Beach Splash,696170
224,Zero-K,334920
225,Professional Fishing,798420
226,Hentai Girl Hime,963690
227,"Football, Tactics & Glory",375530
228,Circle Empires,834740
229,60 Parsecs!,646270
230,NEKOPARA Extra,899970
231,Romance of the Three Kingdoms XI with Power Up Kit,628070
232,Warstone TD,562500
233,KartKraft™,406350
234,Lost in Vivo,963710
235,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],801630
236,Wandersong,530320
237,Maximum Action,853770
238,Despotism 3k,699920
239,The Witch's House MV,885810
240,Star Traders: Frontiers,335620
241,Scythe: Digital Edition,718560
242,killer7,868520
243,Agony UNRATED,879420
244,Heartbound,567380
245,Juicy Realm,732370
246,Booty Calls,823550
247,Music Racer,893030
248,Maitetsu:Pure Station,880950
249,DOKA 2 KISHKI EDITION,967250
250,BallisticNG,473770
