rank,appid,name,rating,num_votes
1,960090,Bloons TD 6,97.0,379515
2,242760,The Forest,96.0,661575
3,264710,Subnautica,97.0,340218
4,294100,RimWorld,98.0,233714
5,588650,Dead Cells,97.0,177441
6,504230,Celeste,97.0,136374
7,945360,Among Us,92.0,722199
8,683320,GRIS,96.0,92951
9,233860,Kenshi,96.0,108901
10,644560,Mirror,96.0,85269
11,613100,House Flipper,94.0,101454
12,787860,Farming Simulator 19,94.0,75672
13,323190,Frostpunk,93.0,131732
14,570940,DARK SOULS™: REMASTERED,92.0,144464
15,252490,Rust,87.0,1329322
16,871720,Ultimate Custom Night,95.0,61705
17,653530,Return of the Obra Dinn,97.0,32995
18,531510,Just Shapes & Beats,98.0,24802
19,519860,DUSK,97.0,24713
20,582010,Monster Hunter: World,88.0,509093
21,568220,Lobotomy Corporation | Monster Management Simulation,94.0,51247
22,609320,FAR: Lone Sails,95.0,25205
23,617670,Zup! S,97.0,15635
24,812140,Assassin's Creed® Odyssey,89.0,181234
25,824270,KovaaK's,93.0,38756
26,866800,The Walking Dead: The Final Season,95.0,20827
27,728880,Overcooked! 2,91.0,79451
28,909080,Cube Escape: Paradox,97.0,11435
29,678950,DRAGON BALL FighterZ,90.0,75080
30,590380,Into the Breach,94.0,21600
31,673950,Farm Together,94.0,21976
32,1002300,Fear & Hunger,94.0,20659
33,456750,The Room Three,96.0,12881
34,535930,Two Point Hospital,92.0,34254
35,432350,Epic Battle Fantasy 5,99.0,5907
36,410340,Liftoff®: FPV Drone Racing,95.0,12675
37,631510,Devil May Cry HD Collection,93.0,20631
38,823130,Totally Accurate Battlegrounds,88.0,87599
39,444090,Paladins®,85.0,345779
40,897330,Coloring Pixels,96.0,8413
41,603850,Age of History II,90.0,48891
42,1222700,A Way Out,88.0,94981
43,897220,Summer Pockets,99.0,4754
44,553310,Lethal League Blaze,97.0,6585
45,368340,CrossCode,93.0,17585
46,825630,STEINS;GATE 0,96.0,7808
47,844930,Fox Hime Zero,97.0,5882
48,528230,SYNTHETIK: Legion Rising,94.0,12919
49,701160,Kingdom Two Crowns,90.0,37184
50,686200,Door Kickers: Action Squad,95.0,10406
51,736190,Chinese Parents,91.0,26505
52,589780,The Red Strings Club,94.0,13727
53,731490,Crash Bandicoot™ N. Sane Trilogy,92.0,21262
54,508900,Zup! X,96.0,6750
55,285920,TerraTech,91.0,24349
56,880940,Pummel Party,89.0,56356
57,816340,Kingdom Rush Origins - Tower Defense,96.0,7509
58,860950,Mark of the Ninja: Remastered,96.0,6697
59,743450,Monster Prom,93.0,14226
60,688420,Bad North: Jotunn Edition,93.0,13371
61,845070,The Awesome Adventures of Captain Spirit,93.0,14728
62,658850,Do Not Feed the Monkeys,94.0,11966
63,650700,Yume Nikki,94.0,9771
64,342560,Airships: Conquer the Skies,96.0,6349
65,765410,Bean Battles,94.0,9992
66,764790,The Messenger,93.0,12747
67,878750,Hentai Girl,92.0,14264
68,744190,Rusty Lake Paradise,95.0,6800
69,962400,Granny,94.0,9037
70,453090,Parkitect,94.0,7866
71,445980,Wizard of Legend,91.0,20857
72,788770,Meteor 60 Seconds!,96.0,4791
73,753420,Dungreed,93.0,9507
74,334940,Yoku's Island Express,96.0,5114
75,552500,Warhammer: Vermintide 2,85.0,144819
76,899970,NEKOPARA Extra,97.0,3953
77,1045520,Acting Lessons,96.0,5155
78,648350,Jurassic World Evolution,87.0,54830
79,760060,Mutant Year Zero: Road to Eden,90.0,20329
80,760890,Hello Charlotte EP3: Childhood's End,98.0,3077
81,527230,For The King,88.0,42920
82,379430,Kingdom Come: Deliverance,84.0,175689
83,228380,Wreckfest,88.0,39674
84,704850,Thief Simulator,88.0,38391
85,581320,Insurgency: Sandstorm,85.0,130774
86,673880,"Warhammer 40,000: Mechanicus",91.0,14238
87,469820,Genital Jousting,92.0,11173
88,702670,Donut County,92.0,11391
89,743390,DISTRAINT 2,95.0,4703
90,880950,Maitetsu:Pure Station,97.0,3613
91,799070,Zup! 8,95.0,4402
92,291860,Pit People®,93.0,8103
93,882790,Fate Seeker,91.0,13359
94,648390,Marie's Room,93.0,6604
95,510420,The Hex,94.0,5378
96,848350,Katamari Damacy REROLL,93.0,6466
97,16900,GROUND BRANCH,89.0,22997
98,332950,Dark Deception,89.0,22964
99,525510,"Guns, Gore and Cannoli 2",94.0,5348
100,790060,The Void Rains Upon Her Heart,99.0,1886
101,466560,Northgard: Definitive Edition,85.0,67835
102,847370,Sunset Overdrive,90.0,13890
103,599140,Graveyard Keeper,86.0,46484
104,532210,Life is Strange 2,87.0,39250
105,815780,PIPE by BMX Streets,93.0,6189
106,233610,Distance,92.0,7448
107,530320,Wandersong,95.0,3828
108,885810,The Witch's House MV,95.0,3814
109,838310,Bloodstained: Curse of the Moon,94.0,4396
110,994280,Gujian3(古剑奇谭三),86.0,48680
111,600480,Megaquarium,95.0,3542
112,973760,Thronebreaker: The Witcher Tales,89.0,17326
113,389140,Horizon Chase Turbo,93.0,5729
114,995460,Miracle Snack Shop,97.0,2278
115,846470,Moss,95.0,3362
116,917680,"one night, hot springs",96.0,3062
117,927890,Hentai Girl Linda,93.0,4762
118,648580,428: Shibuya Scramble,95.0,3422
119,801630,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],94.0,3834
120,884260,Akane,96.0,2855
121,560130,Pillars of Eternity II: Deadfire,88.0,19582
122,829110,LEGO® DC Super-Villains,91.0,7683
123,750920,Shadow of the Tomb Raider: Definitive Edition,84.0,85273
124,334920,Zero-K,94.0,4197
125,473770,BallisticNG,94.0,3599
126,754150,Rolling Line,96.0,2421
127,704450,Neverwinter Nights: Enhanced Edition,90.0,9202
128,963000,Frog Detective 1: The Haunted Island,92.0,5400
129,336140,Unavowed,96.0,2520
130,963690,Hentai Girl Hime,93.0,4166
131,424030,War of Rights,88.0,14378
132,804700,The House in Fata Morgana: A Requiem for Innocence,97.0,1666
133,858940,Flowers -Le volume sur ete-,99.0,1273
134,855640,My Brother Rabbit,96.0,2006
135,595520,FINAL FANTASY XII THE ZODIAC AGE,90.0,9462
136,604330,The Crown of Leaves,96.0,2200
137,223750,DCS World Steam Edition,85.0,39462
138,809020,ZeroRanger,96.0,2096
139,791470,DYO,97.0,1814
140,613830,CHRONO TRIGGER®,88.0,12575
141,598700,The Vagrant,90.0,8508
142,1046820,I'm on Observation Duty,96.0,2167
143,417290,Ghost of a Tale,92.0,5126
144,633230,NARUTO TO BORUTO: SHINOBI STRIKER,84.0,56335
145,744810,A Raven Monologue,94.0,2702
146,468920,Ultimate Fishing® Simulator,89.0,8587
147,322450,FRAMED Collection,93.0,3202
148,781440,"OH MY GOD, LOOK AT THIS KNIGHT",95.0,2177
149,628070,Romance of the Three Kingdoms XI with Power Up Kit,92.0,3930
150,579180,Ys VIII: Lacrimosa of DANA,90.0,6781
151,552520,Far Cry® 5,81.0,182359
152,868520,killer7,93.0,3699
153,748490,The Legend of Heroes: Trails of Cold Steel II,93.0,3028
154,774461,The Jackbox Party Pack 5,94.0,2876
155,587220,Jet Island,96.0,1722
156,600990,The Gardens Between,94.0,2723
157,868360,Project Hospital,89.0,8946
158,922460,Cheeky Chooks,94.0,2730
159,814540,Changed,86.0,17905
160,773670,Delete,96.0,1636
161,852110,RetroMaze,96.0,1556
162,637650,FINAL FANTASY XV WINDOWS EDITION,83.0,56209
163,976940,永冻之壳 The Shell of Permafrost,98.0,1199
164,963710,Lost in Vivo,92.0,3845
165,758190,Dragon Cliff,89.0,8059
166,757240,Aimtastic,94.0,2647
167,802870,The Ditzy Demons Are in Love With Me,96.0,1526
168,853550,Equilinox,93.0,2991
169,716490,EXAPUNKS,95.0,1842
170,448850,Overload,94.0,2096
171,882710,東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,96.0,1434
172,393190,TSIOQUE,95.0,1865
173,793350,Swarmlake,95.0,1860
174,952040,MUSYNX,89.0,6523
175,944220,Gachi Heroes,94.0,2273
176,857450,ISLAND,95.0,1745
177,668350,Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,99.0,849
178,637090,BATTLETECH,84.0,32498
179,888090,TREE,93.0,2290
180,677120,Heroes of Hammerwatch,88.0,9402
181,785890,Hexologic,96.0,1329
182,858760,Scalak,97.0,1073
183,315460,Dig or Die,90.0,4261
184,792100,7 Billion Humans,94.0,2080
185,943380,Timberman VS,91.0,3388
186,843260,The Bard's Tale Trilogy,95.0,1503
187,534550,Guacamelee! 2,91.0,3280
188,742300,Mega Man 11,89.0,5130
189,757480,Broken Reality,93.0,2179
190,323220,Vagante,89.0,4964
191,971680,Montaro RE,95.0,1330
192,221100,DayZ,77.0,453329
193,931500,Touhou Genso Wanderer -Reloaded-,93.0,1826
194,834740,Circle Empires,90.0,4073
195,761620,Beholder 2,87.0,7809
196,733340,Hakuoki: Edo Blossoms,96.0,1042
197,853770,Maximum Action,90.0,3819
198,951240,Obenseuer,94.0,1451
199,862570,Ding Dong XL,97.0,872
200,658550,Zup! Zero 2,95.0,1283
201,718560,Scythe: Digital Edition,90.0,3736
202,766280,A Light in the Dark,93.0,1719
203,416600,Full Metal Furies,91.0,2883
204,431930,Kabounce,91.0,2564
205,820730,Adventure of a Lifetime,97.0,868
206,787070,Super Ledgehop: Double Laser,97.0,791
207,396710,The Adventure Pals,92.0,1949
208,646270,60 Parsecs!,89.0,3957
209,753220,Mhakna Gramura and Fairy Bell,98.0,650
210,790820,Valkyria Chronicles 4 Complete Edition,87.0,6882
211,893680,Project Warlock,87.0,5979
212,758370,Through the Ages,91.0,2297
213,923260,Golf Peaks,95.0,1012
214,581630,Sword With Sauce,87.0,6465
215,822930,Wolf Tails,95.0,930
216,855860,Superfighters Deluxe,89.0,3432
217,876850,WhiteLily 1：丽丽公主,94.0,1205
218,742250,OPUS: Rocket of Whispers,92.0,1640
219,840010,Garden Paws,90.0,2483
220,950460,Paradise Cleaning!,93.0,1327
221,440900,Conan Exiles,79.0,111113
222,716710,東方憑依華　～ Antinomy of Common Flowers.,91.0,1933
223,841770,Siralim 3,95.0,988
224,833040,Hiveswap Friendsim,93.0,1379
225,783120,淑女同萌！,95.0,847
226,818320,LEGO® The Incredibles,90.0,2359
227,885000,Synth Riders,92.0,1629
228,758330,Shenmue I & II,89.0,3131
229,846110,The friends of Ringo Ishikawa,89.0,3036
230,842780,NavalArt,90.0,2134
231,375530,"Football, Tactics & Glory",88.0,4131
232,632350,Cyberdimension Neptunia: 4 Goddesses Online,87.0,4693
233,852480,Snow Daze: The Music of Winter Special Edition,93.0,1360
234,312670,Strange Brigade,84.0,11083
235,831560,WARRIORS OROCHI 4,87.0,5531
236,609490,Minit,89.0,2774
237,893030,Music Racer,88.0,3635
238,606150,Moonlighter,82.0,21437
239,845880,Touhou: Scarlet Curiosity,93.0,1291
240,939620,Pleasure Puzzle:Portrait 趣拼拼：肖像画,91.0,1876
241,525620,Octogeddon,93.0,1260
