rank,name,appid
1,Baldur's Gate 3,1086940
2,Lethal Company,1966720
3,Overwatch®,2357570
4,Hogwarts Legacy,990080
5,Ready or Not,1144200
6,THE FINALS,2073850
7,鬼谷八荒 Tale of Immortal,1468810
8,Resident Evil 4,2050650
9,Starfield,1716740
10,BattleBit Remastered,671860
11,DAVE THE DIVER,1868140
12,Aimlabs,714010
13,Brotato,1942280
14,The Last of Us™ Part I,1888930
15,ARK: Survival Ascended,2399830
16,Limbus Company,1973530
17,Cities: Skylines II,949230
18,Barotrauma,602960
19,ARMORED CORE™ VI FIRES OF RUBICON™,1888160
20,Gorilla Tag,1533390
21,STAR WARS Jedi: Survivor™,1774580
22,Party Animals,1260320
23,Lies of P,1627720
24,Eternal Return,1049590
25,Pizza Tower,2231450
26,Street Fighter™ 6,1364780
27,REMNANT II®,1282100
28,Diablo® IV,2344520
29,PAYDAY 3,1272080
30,Dead Space,1693980
31,Brick Rigs,552100
32,Farlight 84,1928420
33,DREDGE,1562430
34,Combat Master: Season 5,2281730
35,VPet-Simulator,1920960
36,Lords of the Fallen,1501750
37,Volcano Princess,1669980
38,One-armed robber,2551020
39,Love Is All Around,2322560
40,Hero's Land,2349820
41,Arma Reforger,1874880
42,Atomic Heart,668580
43,"Ranch Simulator: Build, Hunt, Farm",1119730
44,Mortal Kombat 1,1971870
45,SANABI,1562700
46,"Warhammer 40,000: Rogue Trader",2186680
47,Tom Clancy's Ghost Recon® Breakpoint,2231380
48,Wandering Sword,1876890
49,HoloCure - Save the Fans!,2420510
50,Your Only Move Is HUSTLE,2212330
51,Company of Heroes 3,1677280
52,Tales of ARISE,740130
53,The Coffin of Andy and Leyley,2378900
54,Against the Storm,1336490
55,Hi-Fi RUSH,1817230
56,MARVEL SNAP,1997040
57,Wartales,1527950
58,Borderlands Game of the Year,8980
59,RoboCop: Rogue City,1681430
60,Far Cry® 6,2369390
61,Kerbal Space Program 2,954850
62,Golf It!,571740
63,Slay the Princess — The Pristine Cut,1989270
64,Crab Champions,774801
65,Wo Long: Fallen Dynasty,1448440
66,Tom Clancy’s The Division® 2,2221490
67,20 Minutes Till Dawn,1966900
68,Riders Republic,2290180
69,Risk of Rain Returns,1337520
70,Chants of Sennaar,1931770
71,My Time at Sandrock,1084600
72,Borderlands Game of the Year Enhanced,729040
73,LIZARDS MUST DIE,2532550
74,Magic: The Gathering Arena,2141910
75,Coral Island,1158160
76,Pineapple on pizza,2263010
77,Sifu,2138710
78,Darkest Dungeon® II,1940340
79,The Murder of Sonic the Hedgehog,2324650
80,Sun Haven,1432860
81,Call of Duty®: Modern Warfare®,2000950
82,MY HERO ULTRA RUMBLE,1607250
83,Hero's Adventure: Road to Passion,1948980
84,Contraband Police,756800
85,Roboquest,692890
86,We Were Here Expeditions: The FriendShip,2296990
87,Disney Dreamlight Valley,1401590
88,Demonologist,1929610
89,Bopl Battle,1686940
90,Sunkenland,2080690
91,The Texas Chain Saw Massacre,1433140
92,Caliber,307950
93,Call of Duty®: Black Ops Cold War,1985810
94,Age of Wonders 4,1669000
95,Death Must Die,2334730
96,ONE PIECE: PIRATE WARRIORS 4,1089090
97,MOBILE SUIT GUNDAM BATTLE OPERATION 2,1367080
98,GoreBox,2027330
99,Operation: Harsh Doorstop,736590
100,Trackmania,2225070
101,Torchlight: Infinite,1974050
102,"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",605740
103,Cats Hidden in Paris,2313250
104,Aliens: Dark Descent,1150440
105,Sanfu,1880330
106,House Flipper 2,1190970
107,Pseudoregalia,2365810
108,Blasphemous 2,2114740
109,Labyrinthine,1302240
110,Trepang2,1164940
111,"Warhammer 40,000: Boltgun",2005010
112,Arrow a Row,2495980
113,Call of Duty®: Modern Warfare® III,3595270
114,Ratchet & Clank: Rift Apart,1895880
115,VillageRhapsody,2109460
116,Six Days in Fallujah,1548850
117,OCTOPATH TRAVELER II,1971650
118,For The King II,1676840
119,Bomb Rush Cyberfunk,1353230
120,Friends vs Friends,1785150
121,Sea of Stars,1244090
122,Jagged Alliance 3,1084160
123,DR LIVESEY ROM AND DEATH EDITION,2181930
124,Dune: Spice Wars,1605220
125,Yog-Sothoth’s Yard,2194530
126,A Date with Death,2415010
127,The Talos Principle 2,835960
128,WILD HEARTS™,1938010
129,Yet Another Zombie Survivors,2163330
130,Grand Theft Auto: San Andreas – The Definitive Edition,1547000
131,Papa's Freezeria Deluxe,2291760
132,EVERSPACE™ 2,1128920
133,The Last Spell,1105670
134,Garten of Banban,2232840
135,东北之夏,2121360
136,System Shock,482400
137,Big Ambitions,1331550
138,Forza Motorsport,2440510
139,BOKURA,1801110
140,Like a Dragon Gaiden: The Man Who Erased His Name,2375550
141,Watch Dogs®: Legion,2239550
142,Wall World,2187290
143,Viewfinder,1382070
144,Luck be a Landlord,1404850
145,Super Bunny Man,673750
146,Amnesia: The Bunker,1944430
147,FPV Kamikaze Drone,2707940
148,EA SPORTS™ WRC,1849250
149,Stranded: Alien Dawn,1324130
150,Ghostrunner 2,2144740
151,魔女的夜宴,2458530
152,Have a Nice Death,1740720
153,Blazing Sails,1158940
154,Cats Hidden in Jingle Jam,2608050
155,Cassette Beasts,1321440
156,Lunacid,1745510
157,Ghosts of Tabor,1957780
158,The Exit 8,2653790
159,Stronghold: Definitive Edition,2140020
160,Juice Galaxy,1708150
161,WORLD OF HORROR,913740
162,Afterimage,1701520
163,Returnal™,1649240
164,(the) Gnorp Apologue,1473350
165,Snowbreak: Containment Zone,2668080
166,Zumbi Blocks 2 Open Alpha,1941780
167,King of Crabs,1273710
168,The Invincible,731040
169,Steam Engine Simulator,2381620
170,Town of Salem 2,2140510
171,Wildfrost,1811990
172,Storyteller,1624540
173,Forspoken,1680880
174,COCOON,1497440
175,100 Asian Cats,2667970
176,Terra Nil,1593030
177,Backpack Hero,1970580
