Rank,Game,,Score,Rating
80,The Coin Game 2019 Arcade $19.99,EA,5.72,95% 5.61 K
81,Tangle Tower 2019 Detective $19.99,Demo,5.72,95% 5.86 K
82,Tails Noir: Prologue 2019 Adventure Free,,5.71,97% 4.12 K
83,One Finger Death Punch 2 2019 Action $7.99,Demo,5.71,96% 4.47 K
84,Shotgun Farmers 2019 Action $3.99 -60% $9.99,,5.71,93% 9.81 K
85,异化之恶〇Abnormal Treatment 2019 RPG Free,,5.71,97% 3.56 K
86,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator 2019 Dating Sim Free",,5.71,92% 12.7 K
87,Fluffy Store 2019 Visual Novel $1.99,,5.71,97% 3.73 K
88,BirdGut 2019 Adventure Free,,5.71,95% 5.1 K
89,Pathologic 2 2019 Story Rich $34.99,,5.71,92% 11.8 K
90,Kao the Kangaroo: Round 2 (2003 re-release) 2019 Adventure $1.99,,5.71,93% 7.91 K
91,AVICII Invector 2019 Casual $19.99,,5.7,97% 3.35 K
92,AMID EVIL 2019 Boomer Shooter $19.99,Demo,5.7,93% 7.49 K
93,Don't Escape: 4 Days to Survive 2019 Adventure $14.99,,5.7,98% 2.61 K
94,Need for Speed™ Heat 2019 Racing $6.99 -90% $69.99,,5.7,84% 144 K
95,Green Hell 2019 Open World Survival Craft $2.49 -90% $24.99,,5.7,85% 91.2 K
96,Dream Ending 2019 Casual $3.99,,5.7,97% 3.19 K
97,What Never Was 2019 Adventure Free,,5.7,95% 5.05 K
98,When the Darkness comes 2019 Psychological Horror Free,,5.69,92% 8.39 K
99,Master Of Pottery 2019 Simulation $5.99,EA,5.69,97% 2.88 K
100,Gato Roboto 2019 Metroidvania $7.99,,5.69,94% 5 K
101,RED HOT VENGEANCE 2019 Violent Free,,5.69,96% 3.53 K
102,Swords & Souls: Neverseen 2019 RPG $14.99,,5.69,93% 6.1 K
103,DRAGON QUEST BUILDERS™ 2 2019 RPG $49.99,Demo,5.69,92% 7.7 K
104,Children of Morta 2019 Roguelike $21.99,,5.69,89% 22.4 K
105,Hello Neighbor Alpha 2 2019 Horror Free,,5.69,95% 4.42 K
106,Seen 2019 Dark $0.99,EA,5.69,91% 9.92 K
107,AI: The Somnium Files 2019 Visual Novel $19.99,,5.69,92% 9.02 K
108,Hot Lava 2019 Precision Platformer $19.99,,5.69,93% 6.04 K
109,Smile For Me 2019 Puzzle $12.99,,5.69,96% 2.9 K
110,Tropico 6 2019 City Builder $39.99,,5.68,88% 28.6 K
111,Later Alligator 2019 Point & Click $17.99,,5.68,96% 2.95 K
112,Hentai Girl Karen 2019 Hentai $0.99,18,5.68,94% 4.51 K
113,inbento 2019 Casual $4.99,,5.68,97% 2.61 K
114,Digimon Story Cyber Sleuth: Complete Edition 2019 Creature Collector $9.99 -80% $49.99,,5.68,90% 12.5 K
115,APE OUT 2019 Violent $14.99,,5.68,95% 3.9 K
116,TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II 2019 Bullet Hell $12.99,,5.68,97% 2.58 K
117,Pacify 2019 Horror $4.99,,5.68,86% 42.3 K
118,Jump King 2019 Psychological Horror $12.99,,5.68,90% 13 K
119,Fantasy Girl 2019 Sexual Content $1.99,18,5.68,94% 4.71 K
120,9-nine-:Episode 2 2019 Sexual Content $19.99,,5.68,98% 1.85 K
121,DATE A LIVE: Rio Reincarnation 2019 Anime $13.99 -65% $39.99,,5.68,95% 3.7 K
122,TheoTown 2019 City Builder $9.99,,5.68,94% 4.18 K
123,Pistol Whip 2019 Action $29.99,VR,5.68,94% 4.08 K
124,while True: learn() 2019 Programming $12.99,,5.68,91% 7.97 K
125,DARQ: Complete Edition 2019 Horror $19.99,,5.67,94% 4.13 K
126,Hentai Girl Fantasy 2019 Sexual Content $0.99,18,5.67,94% 4.01 K
127,The Good Time Garden 2019 Nudity Free,,5.67,96% 2.83 K
128,No Time 2019 Time Travel $10.39 -20% $12.99,EA,5.67,97% 1.99 K
129,FrostRunner 2019 Parkour Free,,5.67,95% 3.42 K
130,Tiny Snow 2019 Visual Novel $3.99,,5.67,94% 4.17 K
131,They Are Billions 2019 Base Building $29.99,,5.67,85% 50.4 K
132,I wanna be the Creator 2019 Action $5.99,,5.67,95% 2.96 K
133,The Jackbox Party Pack 6 2019 Trivia $29.99,,5.67,95% 3.05 K
134,Ion Fury 2019 Boomer Shooter $9.99 -60% $24.99,,5.67,91% 7.89 K
135,Trine 4: The Nightmare Prince 2019 Puzzle Platformer $29.99,,5.67,89% 13.9 K
136,Dicey Dungeons 2019 Roguelike Deckbuilder $14.99,,5.67,89% 11.5 K
137,Fate/EXTELLA LINK 2019 Anime $49.99,,5.66,93% 4.64 K
138,Paunch 2019 Psychological Horror Free,,5.66,89% 11.2 K
139,Remnant: From the Ashes 2019 Souls-like $39.99,,5.66,85% 55.2 K
140,CHAOS;CHILD 2019 Visual Novel $24.99,,5.66,94% 3.72 K
141,The Song of Saya 2019 Visual Novel $14.99,,5.66,90% 8.74 K
142,Breeders of the Nephelym 2019 Sexual Content Free,EA 18,5.66,90% 10.2 K
143,Project Arrhythmia 2019 Music $11.99,EA,5.66,95% 2.54 K
144,异常 | Exception 2019 Strategy $3.99,,5.66,97% 1.66 K
145,Drift86 2019 Racing $1.99,,5.66,91% 6 K
146,コイカツ！ / Koikatsu Party 2019 Sexual Content $59.99,18,5.65,91% 5.74 K
147,Onimusha: Warlords 2019 Action $19.99,,5.65,94% 3.21 K
148,MO:Astray 2019 Action $14.99,,5.65,92% 5.01 K
149,Himno 2019 Pixel Graphics Free,,5.65,91% 5.8 K
150,Hello Neighbor Alpha 1 2019 Cartoony Free,,5.65,93% 3.96 K
151,Garfield Kart - Furious Racing 2019 Cult Classic $14.99,,5.65,88% 14.9 K
152,Intruder 2019 FPS $9.99 -50% $19.99,EA,5.65,90% 6.82 K
153,The Political Process 2019 Political Sim $14.99,EA,5.65,96% 2.09 K
154,Drunken Wrestlers 2 2019 Fighting $3.99,EA,5.65,87% 18.4 K
