rank,appid,name,rating,num_votes
1,739630,Phasmophobia,96.0,810315
2,1145360,Hades,98.0,298131
3,548430,Deep Rock Galactic,97.0,369717
4,1229490,ULTRAKILL,98.0,204619
5,427520,Factorio,97.0,229937
6,1222140,Detroit: Become Human,96.0,226590
7,1289310,Helltaker,98.0,126725
8,546560,Half-Life: Alyx,98.0,102180
9,1057090,Ori and the Will of the Wisps,97.0,142607
10,632360,Risk of Rain 2,94.0,342141
11,1089980,The Henry Stickmin Collection,99.0,55496
12,1150690,OMORI,97.0,85382
13,1113000,Persona 4 Golden,97.0,83348
14,362890,Black Mesa,95.0,139899
15,753640,Outer Wilds,96.0,97478
16,1144400,Senren＊Banka,99.0,34953
17,881100,Noita,95.0,85141
18,1449690,The Walking Dead: The Telltale Definitive Series,97.0,42186
19,1230140,ATRI -My Dear Moments-,98.0,22293
20,782330,DOOM Eternal,91.0,215733
21,346010,Besiege,95.0,51878
22,1240210,There Is No Game: Wrong Dimension,98.0,24864
23,972660,Spiritfarer®: Farewell Edition,95.0,51220
24,1392820,Milk inside a bag of milk inside a bag of milk,97.0,32716
25,1172620,Sea of Thieves: 2025 Edition,89.0,366256
26,1129190,Our Life: Beginnings & Always,99.0,13226
27,851850,DRAGON BALL Z: KAKAROT,93.0,56940
28,1241510,The Test,97.0,20157
29,837470,Untitled Goose Game,96.0,23821
30,1102190,Monster Train,96.0,22711
31,638230,Journey,94.0,36862
32,1049410,Superliminal,95.0,32347
33,1091500,Cyberpunk 2077,86.0,925272
34,1235140,Yakuza: Like a Dragon,94.0,35911
35,953490,CARRION,95.0,30089
36,1158310,Crusader Kings III,90.0,139806
37,610370,Desperados III,97.0,16093
38,1139900,Ghostrunner,91.0,65307
39,1369320,Virtual Cottage,98.0,10906
40,1468260,Leaf Blower Revolution - Idle Game,94.0,26169
41,326460,ShellShock Live,93.0,35295
42,1318690,shapez,96.0,15008
43,1285670,Post Void,97.0,11930
44,1275890,Baldi's Basics Plus,98.0,9535
45,1281800,Samsara Room,97.0,9793
46,1126320,Being a DIK - Season 1,96.0,11567
47,1292940,Cube Escape Collection,98.0,7360
48,895870,Project Wingman,94.0,21026
49,1406990,NEKOPARA Vol. 4,97.0,8752
50,1337010,Alba: A Wildlife Adventure,98.0,7582
51,573090,Stormworks: Build and Rescue,90.0,57030
52,1277930,Riddle Joker,98.0,6718
53,1151640,Horizon Zero Dawn™ Complete Edition,88.0,127246
54,969990,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,94.0,17576
55,1227890,Summer Memories,93.0,24014
56,1349230,5D Chess With Multiverse Time Travel,97.0,8713
57,1202540,Marco & The Galaxy Dragon,97.0,7418
58,1172450,Carto,96.0,9091
59,1178030,Star Fetchers,97.0,7325
60,1016920,Unrailed!,93.0,19411
61,418530,Spelunky 2,93.0,21427
62,1079260,Fireworks Mania - An Explosive Simulator,97.0,7577
63,1241700,There Is No Game: Jam Edition 2015,97.0,7318
64,914800,Coffee Talk,95.0,12042
65,1282200,The Test: Hypothesis Rising,98.0,5936
66,1428310,The Test: Final Revelation,98.0,5375
67,1213210,Command & Conquer™ Remastered Collection,91.0,34205
68,1102130,Florence,93.0,15487
69,1377360,Vampires' Melody,97.0,5675
70,985890,Streets of Rage 4,93.0,18930
71,1434480,Maitetsu:Last Run!!,98.0,4902
72,1171370,The Supper,99.0,4323
73,1054490,Wingspan,94.0,11412
74,1367550,Kingdom Rush Vengeance - Tower Defense,94.0,10281
75,473950,Manifold Garden,95.0,8011
76,955050,Bright Memory,90.0,32946
77,1140270,Monster Prom 2: Monster Camp,96.0,6090
78,1062160,Poly Bridge 2,95.0,8085
79,466630,The Pedestrian,97.0,5802
80,1030840,Mafia: Definitive Edition,87.0,104185
81,1162750,Songs of Syx,95.0,7495
82,431240,Golf With Your Friends,88.0,71940
83,1369340,Cats Organized Neatly,97.0,4678
84,375480,Chronicon,94.0,9578
85,1012790,Into the Radius VR,94.0,11122
